run_tag,type,attack_method,mal_pcnt,aggregation_method,dirichlet_alpha
run_334,cifar,inner_product_manipulation,0.3,fedcsap,5
run_335,cifar,inner_product_manipulation,0.3,fedcsap,10
run_336,cifar,inner_product_manipulation,0.3,flshield,0.9
run_337,cifar,inner_product_manipulation,0.3,flshield,5
run_338,cifar,inner_product_manipulation,0.3,flshield,10
run_339,cifar,inner_product_manipulation,0.3,fltrust,0.9
run_340,cifar,inner_product_manipulation,0.3,fltrust,5
run_341,cifar,inner_product_manipulation,0.3,fltrust,10
run_342,cifar,inner_product_manipulation,0.3,krum,0.9
run_343,cifar,inner_product_manipulation,0.3,krum,5
run_344,cifar,inner_product_manipulation,0.3,krum,10
run_345,cifar,inner_product_manipulation,0.3,afa,0.9
run_346,cifar,inner_product_manipulation,0.3,afa,5
run_347,cifar,inner_product_manipulation,0.3,afa,10
run_348,cifar,inner_product_manipulation,0.3,fedavg,0.9
run_349,cifar,inner_product_manipulation,0.3,fedavg,5
run_350,cifar,inner_product_manipulation,0.3,fedavg,10
run_351,cifar,inner_product_manipulation,0.3,median,0.9
run_352,cifar,inner_product_manipulation,0.3,median,5
run_353,cifar,inner_product_manipulation,0.3,median,10
run_354,cifar,inner_product_manipulation,0.3,foolsgold,0.9
run_355,cifar,inner_product_manipulation,0.3,foolsgold,5
run_356,cifar,inner_product_manipulation,0.3,foolsgold,10
run_357,cifar,sf,0.3,fedcsap,0.9
run_358,cifar,sf,0.3,fedcsap,5
run_359,cifar,sf,0.3,fedcsap,10
run_360,cifar,sf,0.3,flshield,0.9
run_361,cifar,sf,0.3,flshield,5
run_362,cifar,sf,0.3,flshield,10
run_363,cifar,sf,0.3,fltrust,0.9
run_364,cifar,sf,0.3,fltrust,5
run_365,cifar,sf,0.3,fltrust,10
run_366,cifar,sf,0.3,krum,0.9
run_367,cifar,sf,0.3,krum,5
run_368,cifar,sf,0.3,krum,10
run_369,cifar,sf,0.3,afa,0.9
run_370,cifar,sf,0.3,afa,5
run_371,cifar,sf,0.3,afa,10
run_372,cifar,sf,0.3,fedavg,0.9
run_373,cifar,sf,0.3,fedavg,5
run_374,cifar,sf,0.3,fedavg,10
run_375,cifar,sf,0.3,median,0.9
run_376,cifar,sf,0.3,median,5
run_377,cifar,sf,0.3,median,10
run_378,cifar,sf,0.3,foolsgold,0.9
run_379,cifar,sf,0.3,foolsgold,5
run_380,cifar,sf,0.3,foolsgold,10
run_381,cifar,dba,0.3,fedcsap,0.9
run_382,cifar,dba,0.3,fedcsap,5
run_383,cifar,dba,0.3,fedcsap,10
run_384,cifar,dba,0.3,flshield,0.9
run_385,cifar,dba,0.3,flshield,5
run_386,cifar,dba,0.3,flshield,10
run_387,cifar,dba,0.3,fltrust,0.9
run_388,cifar,dba,0.3,fltrust,5
run_389,cifar,dba,0.3,fltrust,10
run_390,cifar,dba,0.3,krum,0.9
run_391,cifar,dba,0.3,krum,5
run_392,cifar,dba,0.3,krum,10
run_393,cifar,dba,0.3,afa,0.9
run_394,cifar,dba,0.3,afa,5
run_395,cifar,dba,0.3,afa,10
run_396,cifar,dba,0.3,fedavg,0.9
run_397,cifar,dba,0.3,fedavg,5
run_398,cifar,dba,0.3,fedavg,10
run_399,cifar,dba,0.3,median,0.9
run_400,cifar,dba,0.3,median,5
run_401,cifar,dba,0.3,median,10
run_402,cifar,dba,0.3,foolsgold,0.9
run_403,cifar,dba,0.3,foolsgold,5
run_404,cifar,dba,0.3,foolsgold,10
